epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8175,2.06499,4.29189,1.73175,0.00103,0.02542,0.00079,0.00026,2.79633,inf,3.04212,0.0865,0.0015,0.0015
2,25.5774,1.91909,2.25714,1.67668,0,0,0,0,nan,nan,nan,0.0720877,0.00308772,0.00308772
3,40.7997,1.82364,1.87944,1.62234,0,0,0,0,nan,nan,nan,0.0576628,0.00466278,0.00466278
4,55.9818,1.81237,1.78694,1.62855,0,0,0,0,nan,nan,nan,0.0432252,0.00622516,0.00622516
5,71.6087,1.72849,1.6729,1.58288,0.00456,0.04082,0.00767,0.00211,nan,nan,nan,0.0287749,0.00777486,0.00777486
6,83.3658,1.70705,1.64739,1.55447,0.21748,0.45519,0.24562,0.10315,2.59856,23.6032,2.96019,0.0143119,0.0093119,0.0093119
7,95.2868,1.69765,1.5447,1.57048,0.27248,0.49609,0.28407,0.13912,2.17507,12.5693,2.82586,0.0097624,0.0097624,0.0097624
8,107.149,1.64396,1.43884,1.51304,0.53979,0.26948,0.34788,0.17475,2.1377,8.21796,2.34063,0.0097228,0.0097228,0.0097228
9,120.771,1.60212,1.4449,1.48063,0.47422,0.53483,0.49804,0.25549,2.01123,13.0654,2.20471,0.0096832,0.0096832,0.0096832
10,133.427,1.51068,1.3581,1.44261,0.50276,0.47147,0.46019,0.25088,1.77163,3.16886,1.87113,0.0096436,0.0096436,0.0096436
11,144.951,1.51735,1.32157,1.41974,0.69832,0.49762,0.60891,0.31336,1.79281,2.51514,1.87197,0.009604,0.009604,0.009604
12,156.364,1.48341,1.2745,1.41537,0.61101,0.50141,0.61115,0.33884,1.64163,2.40093,1.70265,0.0095644,0.0095644,0.0095644
13,167.779,1.43445,1.25585,1.39761,0.59475,0.57915,0.60121,0.35198,1.53172,2.02565,1.59832,0.0095248,0.0095248,0.0095248
14,178.996,1.43225,1.22776,1.41115,0.71873,0.5922,0.7043,0.43843,1.40543,1.76681,1.53283,0.0094852,0.0094852,0.0094852
15,189.99,1.41062,1.20235,1.39142,0.72044,0.69793,0.7248,0.42074,1.44157,1.32426,1.45702,0.0094456,0.0094456,0.0094456
16,200.727,1.38617,1.17873,1.36805,0.76837,0.65757,0.76053,0.47467,1.35708,1.24299,1.45841,0.009406,0.009406,0.009406
17,211.587,1.37771,1.14046,1.35934,0.66797,0.74667,0.74224,0.47491,1.31713,1.34486,1.39918,0.0093664,0.0093664,0.0093664
18,222.586,1.34049,1.10502,1.34247,0.75365,0.70846,0.76738,0.47353,1.39654,1.27421,1.4564,0.0093268,0.0093268,0.0093268
19,233.219,1.3443,1.08896,1.32942,0.78536,0.76706,0.80201,0.49905,1.3552,1.10304,1.39611,0.0092872,0.0092872,0.0092872
20,243.833,1.35156,1.09326,1.3564,0.75362,0.74046,0.75431,0.48167,1.32505,1.16478,1.38552,0.0092476,0.0092476,0.0092476
21,254.224,1.34711,1.0849,1.34616,0.81426,0.74997,0.81001,0.51311,1.30765,0.99702,1.37973,0.009208,0.009208,0.009208
22,264.622,1.32435,1.06569,1.32232,0.78073,0.70058,0.74727,0.48379,1.29516,1.1401,1.40299,0.0091684,0.0091684,0.0091684
23,275.059,1.29502,1.04682,1.33189,0.81787,0.72497,0.81265,0.53751,1.23022,1.05084,1.3213,0.0091288,0.0091288,0.0091288
24,284.552,1.25859,1.0384,1.30357,0.88061,0.67529,0.81339,0.51236,1.31373,1.00989,1.3561,0.0090892,0.0090892,0.0090892
25,292.921,1.27569,1.02846,1.29297,0.8531,0.72041,0.821,0.54732,1.25498,1.01614,1.35065,0.0090496,0.0090496,0.0090496
26,301.197,1.24304,0.97566,1.26634,0.89879,0.70504,0.81483,0.54208,1.27193,0.97044,1.32407,0.00901,0.00901,0.00901
27,309.94,1.21639,0.98299,1.2781,0.79561,0.78413,0.79566,0.53741,1.2838,0.99554,1.32175,0.0089704,0.0089704,0.0089704
28,318.656,1.22641,0.97267,1.26758,0.86287,0.67068,0.7944,0.53191,1.33512,1.07352,1.39627,0.0089308,0.0089308,0.0089308
29,327.243,1.22801,0.96972,1.25835,0.7654,0.74744,0.81301,0.54626,1.24112,1.00585,1.34118,0.0088912,0.0088912,0.0088912
30,335.775,1.21803,0.9562,1.25987,0.87989,0.72393,0.83053,0.56701,1.20439,0.97637,1.33557,0.0088516,0.0088516,0.0088516
31,344.466,1.17563,0.90156,1.23403,0.82727,0.82644,0.84392,0.58411,1.18213,0.87412,1.28654,0.008812,0.008812,0.008812
32,353.361,1.19095,0.91775,1.23051,0.82479,0.73875,0.80039,0.54422,1.20109,1.02565,1.28455,0.0087724,0.0087724,0.0087724
33,363.118,1.18261,0.93053,1.24736,0.74607,0.80772,0.8292,0.54869,1.20377,1.29309,1.30606,0.0087328,0.0087328,0.0087328
34,372.099,1.19574,0.94331,1.26011,0.90119,0.77932,0.84733,0.57008,1.24786,0.93168,1.33768,0.0086932,0.0086932,0.0086932
35,380.964,1.16945,0.93614,1.2546,0.8215,0.7599,0.82208,0.55228,1.20666,0.89821,1.27949,0.0086536,0.0086536,0.0086536
36,390.691,1.18527,0.93769,1.248,0.83958,0.76978,0.83928,0.5634,1.20317,0.91807,1.26947,0.008614,0.008614,0.008614
37,399.491,1.1948,0.92991,1.25494,0.92758,0.72552,0.86159,0.56761,1.15054,0.84598,1.26292,0.0085744,0.0085744,0.0085744
38,407.939,1.14857,0.89786,1.22188,0.91353,0.7941,0.88088,0.58228,1.19951,0.82431,1.28736,0.0085348,0.0085348,0.0085348
39,416.401,1.12092,0.8554,1.19993,0.87234,0.81825,0.87936,0.58099,1.20491,0.83931,1.28099,0.0084952,0.0084952,0.0084952
40,424.805,1.12684,0.87173,1.20702,0.87011,0.78385,0.87149,0.57706,1.16098,0.89399,1.28446,0.0084556,0.0084556,0.0084556
41,433.28,1.11659,0.86663,1.19909,0.87784,0.80558,0.87432,0.60867,1.1346,0.82106,1.26206,0.008416,0.008416,0.008416
42,441.865,1.1375,0.86769,1.20735,0.90622,0.75019,0.86165,0.5822,1.20769,0.8923,1.26763,0.0083764,0.0083764,0.0083764
43,450.303,1.11696,0.86177,1.20711,0.86235,0.77167,0.86254,0.58133,1.15231,0.82802,1.23085,0.0083368,0.0083368,0.0083368
44,458.565,1.09434,0.8446,1.18948,0.88551,0.7741,0.86913,0.58298,1.19629,0.81071,1.30865,0.0082972,0.0082972,0.0082972
45,466.69,1.12501,0.84773,1.21328,0.8817,0.76243,0.85989,0.58009,1.19255,0.88336,1.27384,0.0082576,0.0082576,0.0082576
46,474.898,1.11921,0.85507,1.18746,0.78591,0.81233,0.85506,0.58902,1.2076,0.84976,1.27342,0.008218,0.008218,0.008218
47,483.402,1.11956,0.85156,1.1847,0.92362,0.73877,0.85931,0.59365,1.17425,0.80428,1.24855,0.0081784,0.0081784,0.0081784
48,491.911,1.13459,0.85888,1.21788,0.82084,0.81309,0.868,0.59893,1.17283,0.80023,1.25412,0.0081388,0.0081388,0.0081388
49,500.474,1.10696,0.86918,1.21333,0.85765,0.81292,0.86848,0.60282,1.15792,0.80563,1.26502,0.0080992,0.0080992,0.0080992
50,509.756,1.09265,0.81942,1.18331,0.85998,0.80786,0.86069,0.60907,1.10487,0.8057,1.20086,0.0080596,0.0080596,0.0080596
51,518.327,1.06081,0.80206,1.16215,0.91004,0.81118,0.89079,0.61547,1.16884,0.76374,1.23104,0.00802,0.00802,0.00802
52,527.601,1.08275,0.80589,1.16819,0.86197,0.78686,0.85879,0.58734,1.2013,0.81746,1.26586,0.0079804,0.0079804,0.0079804
53,536.222,1.06866,0.78055,1.16559,0.88462,0.80189,0.8834,0.60167,1.17648,0.80109,1.25261,0.0079408,0.0079408,0.0079408
54,544.339,1.08578,0.79373,1.18151,0.89299,0.77902,0.86448,0.5901,1.18758,0.8784,1.2663,0.0079012,0.0079012,0.0079012
55,552.728,1.04998,0.77753,1.16347,0.92361,0.8329,0.89133,0.61521,1.16973,0.76592,1.24272,0.0078616,0.0078616,0.0078616
56,561.119,1.04764,0.7836,1.1614,0.86836,0.81554,0.88003,0.60057,1.1091,0.75925,1.20089,0.007822,0.007822,0.007822
57,570.404,1.03603,0.77243,1.14791,0.82194,0.8413,0.88168,0.60598,1.12811,0.73693,1.20268,0.0077824,0.0077824,0.0077824
58,578.902,1.05589,0.76042,1.14945,0.84233,0.81285,0.87364,0.61004,1.12267,0.76426,1.2339,0.0077428,0.0077428,0.0077428
59,587.706,1.05936,0.78336,1.16154,0.88776,0.79921,0.87339,0.60565,1.13914,0.76558,1.24882,0.0077032,0.0077032,0.0077032
60,596.55,1.04141,0.76456,1.14946,0.90108,0.79778,0.8812,0.61184,1.14525,0.73334,1.24755,0.0076636,0.0076636,0.0076636
61,604.8,1.02677,0.74294,1.13846,0.85163,0.83091,0.89258,0.6113,1.18591,0.78936,1.27965,0.007624,0.007624,0.007624
62,613.242,1.04841,0.7635,1.15632,0.93323,0.81095,0.907,0.6307,1.11315,0.73471,1.23613,0.0075844,0.0075844,0.0075844
63,621.69,1.08123,0.79458,1.18508,0.90359,0.80655,0.88378,0.59741,1.13743,0.73269,1.2368,0.0075448,0.0075448,0.0075448
64,630.638,1.07248,0.80023,1.17626,0.86898,0.82952,0.88191,0.59177,1.14295,0.82042,1.24377,0.0075052,0.0075052,0.0075052
65,639.502,1.04749,0.77063,1.14686,0.85776,0.84821,0.89674,0.59868,1.14511,0.75421,1.24222,0.0074656,0.0074656,0.0074656
66,648.175,1.02833,0.75291,1.14055,0.87374,0.84044,0.88868,0.61174,1.13707,0.82834,1.26336,0.007426,0.007426,0.007426
67,656.786,1.00724,0.75726,1.13655,0.90363,0.79865,0.88337,0.62989,1.05721,0.71667,1.19887,0.0073864,0.0073864,0.0073864
68,665.217,0.99357,0.74041,1.12416,0.88045,0.86304,0.90013,0.62937,1.0683,0.70217,1.18883,0.0073468,0.0073468,0.0073468
69,674.213,0.98433,0.72752,1.12079,0.90734,0.82388,0.89622,0.62459,1.12412,0.72786,1.20014,0.0073072,0.0073072,0.0073072
70,683.111,1.02717,0.73706,1.12936,0.88067,0.84198,0.90009,0.63372,1.09694,0.73596,1.20401,0.0072676,0.0072676,0.0072676
71,691.622,0.9993,0.71755,1.11399,0.90239,0.81241,0.88931,0.63092,1.06659,0.69908,1.17336,0.007228,0.007228,0.007228
72,699.699,0.99208,0.73078,1.12424,0.85228,0.83051,0.87389,0.60274,1.09835,0.71055,1.19207,0.0071884,0.0071884,0.0071884
73,708.338,0.99194,0.70888,1.11958,0.90868,0.76876,0.85447,0.61234,1.09291,0.74425,1.20508,0.0071488,0.0071488,0.0071488
74,716.976,0.99496,0.70992,1.11977,0.86681,0.81653,0.8585,0.61554,1.11964,0.69679,1.22684,0.0071092,0.0071092,0.0071092
75,725.364,1.01536,0.7401,1.13779,0.91164,0.82541,0.90278,0.63772,1.07791,0.70246,1.17469,0.0070696,0.0070696,0.0070696
76,733.84,0.99535,0.73483,1.1285,0.93038,0.81485,0.89266,0.63558,1.05941,0.69418,1.17061,0.00703,0.00703,0.00703
77,742.67,0.95785,0.68236,1.09898,0.91105,0.82304,0.89362,0.64219,1.0609,0.70575,1.17224,0.0069904,0.0069904,0.0069904
78,751.068,0.99406,0.71472,1.11735,0.90737,0.82891,0.89322,0.6426,1.07094,0.69442,1.16842,0.0069508,0.0069508,0.0069508
79,759.621,0.9653,0.69116,1.09104,0.91327,0.82702,0.90555,0.63225,1.08645,0.71729,1.18532,0.0069112,0.0069112,0.0069112
80,767.718,0.9675,0.6889,1.10278,0.8723,0.84519,0.88492,0.6438,1.02963,0.70253,1.16158,0.0068716,0.0068716,0.0068716
81,775.793,0.96533,0.70639,1.11598,0.88738,0.83865,0.8966,0.61775,1.08381,0.70567,1.20968,0.006832,0.006832,0.006832
82,783.964,0.97299,0.69125,1.11687,0.85905,0.8663,0.8983,0.62923,1.10142,0.71536,1.21944,0.0067924,0.0067924,0.0067924
83,791.894,0.95751,0.69215,1.11244,0.88895,0.82902,0.89016,0.63822,1.03951,0.66908,1.16446,0.0067528,0.0067528,0.0067528
84,800.011,0.96583,0.69365,1.10517,0.86936,0.84122,0.89471,0.62622,1.04739,0.70138,1.18931,0.0067132,0.0067132,0.0067132
85,808.165,0.96888,0.70702,1.12238,0.90817,0.79112,0.87448,0.64064,1.05524,0.7195,1.20313,0.0066736,0.0066736,0.0066736
86,816.553,0.96294,0.7111,1.11448,0.82162,0.83458,0.87889,0.63424,1.08063,0.7196,1.21409,0.006634,0.006634,0.006634
87,824.872,0.9336,0.67178,1.08773,0.9205,0.81509,0.89995,0.65092,1.06582,0.672,1.18758,0.0065944,0.0065944,0.0065944
88,833.134,0.93824,0.6804,1.09087,0.89592,0.81529,0.88962,0.64208,1.04494,0.69314,1.17804,0.0065548,0.0065548,0.0065548
89,841.475,0.92718,0.67347,1.0936,0.86403,0.85105,0.90955,0.64856,1.03772,0.68405,1.16797,0.0065152,0.0065152,0.0065152
90,849.924,0.94363,0.69062,1.11581,0.94427,0.77093,0.89762,0.65595,0.99909,0.66426,1.1366,0.0064756,0.0064756,0.0064756
91,858.589,0.91543,0.67654,1.09134,0.87115,0.86221,0.90019,0.65359,1.02141,0.64092,1.15446,0.006436,0.006436,0.006436
92,866.993,0.93193,0.67069,1.08651,0.90457,0.79698,0.89626,0.64218,1.02201,0.64383,1.15765,0.0063964,0.0063964,0.0063964
93,876.869,0.94043,0.66054,1.09067,0.84798,0.84369,0.8853,0.63797,1.04207,0.66878,1.17727,0.0063568,0.0063568,0.0063568
94,885.47,0.93583,0.67382,1.09179,0.87458,0.85383,0.90163,0.64195,1.08465,0.66539,1.205,0.0063172,0.0063172,0.0063172
95,893.883,0.92039,0.65764,1.07672,0.9289,0.81128,0.90381,0.64334,1.01957,0.63611,1.15192,0.0062776,0.0062776,0.0062776
96,902.5,0.90601,0.64501,1.07512,0.92942,0.82309,0.89702,0.64803,1.04681,0.68394,1.1597,0.006238,0.006238,0.006238
97,911.13,0.91723,0.64564,1.07421,0.89198,0.82121,0.88771,0.65119,1.05746,0.67468,1.18078,0.0061984,0.0061984,0.0061984
98,919.77,0.93455,0.66655,1.10075,0.90013,0.82359,0.89388,0.63819,1.06987,0.69919,1.22245,0.0061588,0.0061588,0.0061588
99,928.204,0.95423,0.68227,1.09947,0.82125,0.86363,0.89571,0.6593,1.04882,0.69537,1.16657,0.0061192,0.0061192,0.0061192
100,936.729,0.92468,0.65213,1.08313,0.85009,0.85709,0.89465,0.63701,1.05681,0.70179,1.19351,0.0060796,0.0060796,0.0060796
101,945.161,0.93223,0.64717,1.0808,0.91009,0.81605,0.90459,0.65019,1.03446,0.66635,1.18525,0.00604,0.00604,0.00604
102,953.596,0.91322,0.63783,1.07482,0.91205,0.83839,0.90372,0.65927,1.01022,0.6559,1.13841,0.0060004,0.0060004,0.0060004
103,961.932,0.90081,0.6447,1.071,0.89486,0.84588,0.91377,0.65616,1.02033,0.64949,1.13993,0.0059608,0.0059608,0.0059608
104,970.212,0.89392,0.63897,1.07464,0.82139,0.88228,0.90451,0.66945,1.00836,0.64412,1.14879,0.0059212,0.0059212,0.0059212
105,978.59,0.91026,0.64613,1.0726,0.89686,0.84154,0.91781,0.64844,1.0187,0.64701,1.14807,0.0058816,0.0058816,0.0058816
106,986.946,0.87446,0.62504,1.07058,0.84151,0.84121,0.899,0.66639,1.0011,0.6575,1.15136,0.005842,0.005842,0.005842
107,994.844,0.8713,0.61519,1.05381,0.86973,0.84542,0.90137,0.66008,1.00976,0.66171,1.16825,0.0058024,0.0058024,0.0058024
108,1002.82,0.87172,0.62844,1.06789,0.87897,0.87862,0.91204,0.66337,1.0011,0.62161,1.15067,0.0057628,0.0057628,0.0057628
109,1011.05,0.89885,0.63466,1.07296,0.88731,0.87691,0.91311,0.65492,1.02805,0.62411,1.16694,0.0057232,0.0057232,0.0057232
110,1019.96,0.90076,0.63677,1.07279,0.92819,0.86036,0.91177,0.66254,1.01863,0.63542,1.18174,0.0056836,0.0056836,0.0056836
111,1028.57,0.86846,0.61376,1.05909,0.92938,0.84887,0.90492,0.65457,1.00211,0.66685,1.18058,0.005644,0.005644,0.005644
112,1037.13,0.86232,0.60719,1.05545,0.9115,0.85971,0.90703,0.66304,0.99464,0.63894,1.17247,0.0056044,0.0056044,0.0056044
113,1045.45,0.87411,0.61434,1.0528,0.8687,0.85549,0.9003,0.65866,0.98779,0.6353,1.16181,0.0055648,0.0055648,0.0055648
